id,text_for_llm
1,"Employee 1 is a Female working as a Intermediate in the CA sector. Based in a Metro area, they have a Professional Certification degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Remote capacity at a Non-Profit / NGO."
2,"Employee 2 is a Male working as a Working professional in the CA sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Remote capacity at a Consultancy Firm."
3,"Employee 3 is a Female working as a Intermediate in the Finance sector. Based in a City area, they have a Diploma degree and hold certifications in Certified Data Scientist. They currently operate in a Remote capacity at a Outsourcing / Service-based Company."
4,"Employee 4 is a Male working as a Experienced in the CA sector. Based in a Rural area, they have a Bachelor's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Hybrid capacity at a Contract / Temporary Employment."
5,"Employee 5 is a Female working as a Working professional in the CA sector. Based in a City area, they have a High School degree and hold certifications in CFA (Chartered Financial Analyst). They currently operate in a Hybrid capacity at a Small Business / Local Firm."
6,"Employee 6 is a Male working as a Working professional in the CA sector. Based in a City area, they have a Professional Certification degree and hold certifications in Lean Six Sigma. They currently operate in a Remote capacity at a Government Organization."
7,"Employee 7 is a Female working as a Working professional in the IT sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Hybrid capacity at a Product-based Company."
8,"Employee 8 is a Female working as a Working professional in the Finance sector. Based in a Rural area, they have a Professional Certification degree and hold certifications in PMP (Project Management Professional). They currently operate in a Remote capacity at a Remote-first / Distributed CompanyResearch & Development (R&D) Institution."
9,"Employee 9 is a Male working as a Experienced in the IT sector. Based in a City area, they have a High School degree and hold certifications in Microsoft Azure Fundamentals. They currently operate in a Full-Time capacity at a Startup (early-stage)."
10,"Employee 10 is a Male working as a Experienced in the IT sector. Based in a Rural area, they have a High School degree and hold certifications in AWS Certified Solutions Architect. They currently operate in a Remote capacity at a Small Business / Local Firm."
11,"Employee 11 is a Male working as a Fresher in the Digital marketing sector. Based in a City area, they have a Bachelor's Degree degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Scale-up (growing startup)."
12,"Employee 12 is a Male working as a Working professional in the IT sector. Based in a Metro area, they have a PhD degree and hold certifications in Lean Six Sigma. They currently operate in a Hybrid capacity at a Government Organization."
13,"Employee 13 is a Female working as a Experienced in the Digital marketing sector. Based in a Rural area, they have a PhD degree and hold certifications in Cisco CCNA. They currently operate in a Hybrid capacity at a Startup (early-stage)."
14,"Employee 14 is a Male working as a Intermediate in the IT sector. Based in a Metro area, they have a Bachelor's Degree degree and hold certifications in TensorFlow Developer Certificate. They currently operate in a Remote capacity at a Mid-sized Company."
15,"Employee 15 is a Female working as a Experienced in the Digital marketing sector. Based in a Metro area, they have a Diploma degree and hold certifications in Google Cloud Professional Engineer. They currently operate in a Full-Time capacity at a Non-Profit / NGO."
16,"Employee 16 is a Female working as a Fresher in the Finance sector. Based in a Rural area, they have a Master's Degree degree and hold certifications in Oracle Certified Java Programmer. They currently operate in a Full-Time capacity at a Non-Profit / NGO."
